160769522
261646935,1,3,-4.0739284,-5.53489,6.3180614
261646945,1,3,-3.9649549,-5.277426,6.1061025
261646955,1,3,-3.8978944,-5.2989807,5.8342676
261646965,1,3,-3.98651,-5.437892,5.898933
261646975,1,3,-3.9781275,-5.5360875,6.0570045
261646985,1,3,-3.9529798,-5.595963,5.965994
261646994,1,3,-3.8966968,-5.6342835,5.915698
261647004,1,3,-3.7170703,-5.7372694,5.8187
261647014,1,3,-3.754193,-5.7947497,5.6007533
261647024,1,3,-3.6488123,-5.882168,5.400769
261647034,1,3,-3.3206947,-5.9935365,5.1385145
261647044,1,3,-3.0225146,-6.0617943,4.8259645
261647054,1,3,-2.8476782,-6.1276574,4.6104126
261647064,1,3,-2.8524683,-6.7623377,4.877457
261647073,1,3,-2.694397,-7.0150123,5.252278
261647083,1,3,-2.7327173,-7.09285,5.7312818
261647093,1,3,-2.906356,-7.0796776,6.1049047
261647103,1,3,-2.9770093,-6.9287915,6.4426026
261647113,1,3,-2.9746141,-6.5192432,6.3108764
261647123,1,3,-3.0764027,-6.358777,5.915698
261647133,1,3,-3.2644117,-6.1683726,5.476212
261647143,1,3,-3.2332764,-5.8570204,4.707411
261647153,1,3,-3.542234,-5.613926,3.7506006
261647162,1,3,-3.5314562,-4.790039,2.098037
261647174,1,3,-3.67396,-4.331393,0.58558226
261647184,1,3,-3.4620008,-4.197272,-0.6251001
261647194,1,3,-2.6033862,-3.6727624,-1.1759546
261647204,1,3,-2.4417224,-3.434458,-1.9974463
261647214,1,3,-3.1434631,-3.6260595,-0.64665526
261647223,1,3,-3.7973034,-4.963678,-1.961521
261647233,1,3,-6.245013,-7.795789,-0.5783972
261647243,1,3,-5.415139,-8.601712,1.5878979
261647253,1,3,-3.2332764,-9.047186,1.1196716
261647263,1,3,-3.735033,-9.069939,-0.27303222
261647273,1,3,-4.5888577,-9.546548,-1.2789404
261647283,1,3,-4.6990285,-10.340497,-0.979563
261647293,1,3,-5.7300844,-11.676918,-1.8729053
261647303,1,3,-7.6305323,-11.874507,-1.4825171
261647312,1,3,-7.460486,-12.697196,-2.4297473
261647322,1,3,-8.311915,-17.611776,-0.66940796
261647332,1,3,-7.4497085,-17.09565,-1.2717553
261647342,1,3,-7.418573,-13.014536,-2.0441492
261647352,1,3,-6.927594,-9.921369,-2.6931994
261647362,1,3,-7.4556956,-9.4507475,-3.046465
261647372,1,3,-7.9083543,-10.304571,-5.23671
261647382,1,3,-7.765851,-10.192005,-7.036567
261647392,1,3,-7.270082,-9.491463,-8.400531
261647401,1,3,-7.0162096,-8.00655,-9.004076
