mean_x,std_x,median_x,rms_x,mean_y,std_y,median_y,rms_y,mean_z,std_z,median_z,rms_z,Activity
-5.3933744165,1.4295745878217625,-5.45525565,5.578705287178357,-6.29893131095,3.816263514679201,-5.849835199999999,7.359863010781558,-0.7434619682,4.904308341527239,-1.1891272,4.9482031895820136,hand_wash
-5.1294193045,1.4660420318870977,-5.1187553,5.3338049499808875,-6.8239914076,3.019890697797002,-6.9665132,7.459289500918053,-2.073128901945,4.5611835469272375,-2.60638,4.9998236785006345,hand_wash
-4.976808667,1.3896615010948319,-4.9349377,5.166248910003595,-6.6201512943,2.845984011373264,-6.64917275,7.203161113528509,-3.633645797675,4.567121539587639,-4.5810735000000005,5.827322536511921,hand_wash
-5.1730805175,1.2856868860035096,-5.2115624,5.329679901789156,-6.2831002003,2.9543897419208984,-6.082152,6.939893715356273,-2.18891013315,5.368591464876605,-2.59081245,5.785239235863021,hand_wash
-4.9295309895,1.1660662587987063,-4.81877935,5.064897604468437,-6.40093515405,2.5195857296111805,-6.32704275,6.876666455047031,-3.4031012279,4.743947676605942,-4.11224865,5.828688731431584,hand_wash
-5.1403465945,1.281620554144283,-5.048701299999999,5.296933225949599,-5.8347705297,2.866008822138908,-5.71691155,6.497498262407676,-2.16964222565,5.469461327884894,-2.29981755,5.871352447985536,hand_wash
-5.2578402656,1.2709889069064326,-5.20617375,5.408532148008042,-6.81964449565,2.805401314370607,-7.20302115,7.3714636402174785,-1.06766976615,4.753760605264867,-1.5447876,4.860572746318909,hand_wash
-4.7581493861,1.089258369799215,-4.7002257499999995,4.880628746139227,-6.471995427,2.7127623378967995,-6.707252,7.014913321738955,-4.95927712786,3.994544895532843,-5.7079305,6.361685044760601,hand_wash
-5.1327124795,1.4590123241693622,-5.07265115,5.335054898919291,-5.4628599171,3.013511391763576,-4.85171085,6.235277309599407,-3.15060628176,5.76942768205994,-5.14989085,6.560959094697399,hand_wash
-5.1592492885,1.5027788771005464,-5.24988265,5.372606988472174,-5.9083335359,2.8616099830958954,-6.3605730000000005,6.561727882830705,-2.754176670975,5.535041227329746,-3.8164635999999996,6.170007059658985,hand_wash
