mean_x,std_x,median_x,rms_x,mean_y,std_y,median_y,rms_y,mean_z,std_z,median_z,rms_z,Activity
-5.406409332,1.38574145154781,-5.520519999999999,5.579456823201443,-6.7335136067,3.9870536741424303,-7.0778815999999996,7.815231060058415,-1.29417277696,4.4527024529701205,-1.80344975,4.615536449857548,hand_wash
-5.380339501,1.4789819643600979,-5.375022749999999,5.577953649898353,-5.8643490152,3.6050947648288165,-5.264851800000001,6.874396741012217,-0.19275115944000001,5.282819483792103,0.4778064,5.259871946237436,hand_wash
-4.878499108,1.4162227545892065,-4.8930249,5.077931032267657,-7.7836338,1.8639899725720752,-7.8592565,8.001541674213364,-3.95350664445,2.601477038430312,-3.8901105,4.725486296813868,hand_wash
-5.075118226,1.362575926485116,-5.07444775,5.253082145917746,-5.4566687886,3.173621807336844,-4.866080999999999,6.304473878978747,-3.3137849509,5.91215017090447,-5.6091356,6.751677950532283,hand_wash
-5.271042809,1.2027793507816757,-5.290598,5.405192288837719,-7.109531612,2.46847168358418,-7.191046,7.521825487882424,-1.0640353154,4.519392527809454,-1.2933105,4.62091234331859,hand_wash
-4.58801917,1.025114875997774,-4.4882668,4.700028915675892,-5.6923386961,2.3776111784354694,-5.5714143499999995,6.164351093000831,-5.7421671404,3.7093807241204315,-6.9623218,6.82600862665738,hand_wash
-5.692674019,1.2784910240341494,-5.80732335,5.833072208720559,-5.9772023633,3.288915398017265,-6.0564055,6.814377663602233,1.4028826891,4.537507606511037,2.6273365,4.727701911682938,hand_wash
-4.8230065122,1.1093344911858538,-4.8517108,4.947697302778823,-7.662086628,1.889267390724709,-7.806566,7.88930982126419,-3.5382222214,3.536269933303866,-4.0823106,4.98990676053028,hand_wash
-4.69329226,1.0704351411904087,-4.569697,4.81262561554047,-5.281904226,2.891697644492016,-4.6732819,6.014715983911936,-6.38033203432,3.935626818571109,-7.7688445999999995,7.4861808513203565,hand_wash
-5.572132699,1.656207612255506,-5.701942750000001,5.810701870997098,-5.6438156082,3.1346714210426896,-5.26784535,6.448298836754134,0.07911947080000002,5.508781314497733,1.62741575,5.481739208126326,hand_wash
-4.746365878,1.2050258489654633,-4.9864306,4.895462743352348,-6.1728514636,2.5481013999300965,-6.90663765,6.673229182978142,-5.58747281275,3.875415527196789,-6.2468098,6.788851853338235,hand_wash
-5.382590855,1.5624109694850838,-5.30317185,5.602588782832565,-5.47787671517,3.0470013129164495,-5.1043854,6.26087119636773,-0.68921476784,5.703378149723885,0.90052735,5.716489665150205,hand_wash
-4.807786174,1.126724502879828,-4.6469366999999995,4.936762189861029,-7.733913242,2.1765614424766606,-7.937094999999999,8.031404581424738,-3.26867477963,3.422860531799606,-3.3859588,4.720492484152389,hand_wash
-4.477141733,1.2191809176656898,-4.35414555,4.63857048952265,-5.7249469232,3.106372244546214,-5.248086450000001,6.506002636790686,-7.04281837966,2.732653191604957,-7.754474350000001,7.549437744614467,hand_wash
-5.335301179,1.4698460553634687,-5.58578445,5.532113666840339,-5.698805265,3.1655655967533525,-5.7336767,6.5112962565273165,0.11260184610000004,5.66716340480296,1.8555414,5.639880568054224,hand_wash
-4.293467689,1.0432882443537705,-4.3427691,4.41717451021416,-7.213786818,2.2729998345102715,-7.26888415,7.559998890261655,-4.3904420314,3.6977325673536963,-4.6134065,5.728217446060793,hand_wash
-4.793128639,1.128980117565633,-4.907395149999999,4.923000334633537,-5.93088268244,2.9040314979210553,-6.00191905,6.597305081953928,-4.3369252960999995,4.748635742618981,-5.8181013,6.413498813118297,hand_wash
-4.914041171,1.4064580787034355,-4.8996112499999995,5.109417159927511,-5.5299923121,2.5226761709753136,-5.0690589,6.072978765388177,-1.47334416806,6.130941439797873,-1.7034576499999998,6.275611647194632,hand_wash
-4.4035428,0.8866272385616383,-4.4607239,4.4910395203103795,-6.6102299646,2.943614661872243,-7.28325435,7.23003172812603,-5.0081535055,3.990708370539319,-4.7439349,6.391251622362994,hand_wash
-5.068208581,1.4778164297515548,-4.9822395,5.277200034731034,-5.6420912192,3.0539474044523773,-4.9439189500000005,6.408316637576793,-1.092296551,5.923561617430549,-0.007783800000000007,5.994231240823794,hand_wash
-6.944886042,1.0402595654887414,-7.4143817,7.021592461850897,-4.219808853,3.3207990924984734,-2.4495062,5.359497765879604,4.1913081238,1.3226776574814942,4.59963515,4.393067858840403,hand_wash
-7.279941660747664,1.6883642816939222,-7.0689,7.4713776275579455,-4.991119948901869,3.9201430702831574,-5.9839563,6.335233092614979,-1.5100486035140186,4.5040686133136685,-1.5902929,4.73046362922761,hand_wash
-5.783972161682243,0.6588817482290652,-5.7684045,5.821030998096116,-6.6746732252336445,1.7771597941140218,-6.6988697,6.905073700091283,-3.5842810116261683,3.1744949639783826,-4.5613146,4.778107069479507,hand_wash
-5.8994479093457945,1.1220835718338114,-5.84265,6.004231020997202,-6.900096039252336,2.6629440340208306,-7.1383557,7.39163870323456,-3.803872990682243,3.2766512690178122,-4.3445654,5.01054414950889,hand_wash
-6.463486228971963,1.4721615248378213,-6.5012803,6.627492665037417,-5.943173836018691,3.20470674095024,-6.084547,6.745033571029579,-0.6761565307037383,4.442509108866247,-0.8071216,4.473100411639842,hand_wash
-5.959502474766355,1.1173214846133244,-5.503755,6.062376571014135,-4.860188524336449,2.1901091562733335,-4.7624965,5.326648362302557,-3.1622203971962617,5.555751487005736,-7.162306,6.370050363638664,hand_wash
-6.05491153271028,1.6869322452825377,-6.1671753,6.2833986316680095,-5.789355363084112,3.590464792754161,-5.4821997,6.803498528290553,-2.074713637593458,5.170839985873577,-2.2932312,5.549066484979811,hand_wash
-6.446810560747664,1.4559397214594396,-6.5863037,6.607670999161004,-5.674439213457944,3.2889018890156665,-5.4319043,6.550957466442633,0.28614886285046726,4.5073344515073765,0.30057496,4.495339283499751,hand_wash
-5.545981125233645,1.0054787302002686,-5.412744,5.635551937232112,-6.592951554205608,2.3538154669193996,-6.7060547,6.996833395726129,-5.075113521214953,3.1764319204255687,-5.6414685,5.979314388130251,hand_wash
-6.081570118691589,1.7444093019549438,-6.085745,6.32455690204235,-5.631004294953271,3.71718074112488,-5.742059,6.737693013730927,0.1718146658224299,4.92690374512259,0.7113208,4.9068357852905296,hand_wash
-5.904719203738318,2.1197684401941244,-5.773195,6.270337515002526,-5.654227004112149,3.837987029905531,-5.21276,6.8236912704510315,-2.081428678878505,5.563174796383237,-4.317023,5.915405055884475,hand_wash
-6.052874655140187,1.7908751177751296,-5.948031,6.309877267561762,-6.343298741028037,3.8553582475366905,-5.980364,7.413657143107859,-2.245118154280374,5.0727691283710925,-3.36141,5.525671629248962,hand_wash
-5.936414057009346,1.770578650583119,-5.874983,6.192468169287305,-6.132268428598131,4.095599299348605,-5.8103175,7.363551043242119,-1.7493155585981308,5.078364693989877,-2.5782385,5.34872572048401,hand_wash
-7.754323380373831,1.08546554769475,-8.246052,7.8292244185700754,-2.399283576074766,2.5861147509158458,-1.2442126,3.518813238652267,4.519099675700935,1.229572225717465,4.5696974,4.681877862347549,hand_wash
-5.884051411650486,1.4183146869950927,-5.7767873,6.0509625109160945,-6.339093529126214,4.224510668139065,-6.707252,7.6064006112803915,-0.47970149722330097,4.410041828006574,-1.1747571,4.414721097029529,hand_wash
-5.32268675631068,1.3388620651418428,-5.2319202,5.486906461878367,-5.200715129805825,3.917382619439577,-4.63077,6.499564236032491,-0.3824706833009709,5.828234773732438,1.5172448,5.812470634864011,hand_wash
-5.154128517475728,1.558436259364235,-5.1433043,5.382395796355801,-7.750387829126214,2.223448508788763,-7.498806,8.060039544554963,-3.915170987346602,3.068926209636115,-3.8440063,4.965423653232255,hand_wash
-5.058002217475728,1.3738144255633098,-5.083429,5.239506519262181,-5.559596039805825,3.0283880444527953,-4.7816563,6.323859749887888,-4.495951560097088,5.367253873697482,-6.2821364,6.981497757858771,hand_wash
-5.415208919417475,1.5216703777298215,-5.3361034,5.622943000233949,-5.909547939368932,3.8970189255869627,-6.0390415,7.068385184478595,-0.0053364565631068015,5.051560618239945,-0.067060545,5.026981501358396,hand_wash
-4.513030668932039,1.1872372744416364,-4.59245,4.665114509257863,-6.687603770291262,2.716315612212544,-6.333629,7.213236446177609,-5.42321944423301,3.5219680587001783,-5.7444544,6.457177281732245,hand_wash
-5.6394688,1.2436197766087767,-5.649851,5.773662880408615,-5.975387729223301,4.221677380064137,-5.628296,7.304435902501206,1.718507902776699,4.3329072618175655,2.7566674,4.641668027575672,hand_wash
-4.9549001349514565,0.7672884022426987,-4.9552956,5.0133871783284265,-6.942324489320388,1.6111476178063506,-7.129973,7.125058880612333,-4.753869596699029,2.6324456305143067,-5.6726036,5.427869454921339,hand_wash
-4.694575431067961,1.008920020418921,-4.701423,4.800736961233362,-6.554133695145631,2.3311890666468678,-6.43422,6.952578613793046,-5.860450034174757,2.8312514742707835,-6.3695545,6.502540612514494,hand_wash
-5.419778069902913,1.0192258474184492,-5.498965,5.51386706505378,-5.803678741067961,3.3266031973332733,-6.0761647,6.681432186637021,1.3316192289320388,5.034003795386898,2.3806493,5.18347113149717,hand_wash
-4.794003649514563,1.165737316631543,-4.87626,4.932364631372693,-6.638145443300971,2.522625906723639,-6.5503783,7.096959452106471,-4.879259315728155,3.5213182424866134,-4.3218126,6.007201375953066,hand_wash
-5.305119387961165,1.5795249629564005,-5.1995873,5.533079477802675,-5.409384128446602,3.402107289024329,-5.252278,6.381488735421118,0.3793083214563107,5.525610091051123,1.9483484,5.511788360837206,hand_wash
-5.278588176699029,1.4841355802043708,-5.3121533,5.481310657717486,-6.993003611650486,3.3201044869398615,-6.72282,7.7342209037859035,-1.5018051466504854,4.906100635976089,-1.8058448,5.107989285669757,hand_wash
-5.374679619805825,1.718022577260267,-5.3049684,5.6400466545545305,-6.601941088834952,3.7092983403782487,-6.805448,7.563791299441499,-0.9195363649514564,5.076017971942777,-2.027384,5.134330593322951,hand_wash
-4.711840510433981,2.414893162222913,-5.20797,5.28928458743555,-6.100486801650486,3.771351868404502,-6.5012803,7.162467859074914,2.695850270669903,3.4796540453007894,2.6536818,4.38839921085025,hand_wash
-5.289388984917475,3.1090467579918464,-6.9455566,6.127802318086013,-4.583393093184466,4.798050000490942,-1.6130457,6.618554860699082,2.004875505378641,4.763095015885414,4.9229627,5.146487838010038,hand_wash
-4.534258059405941,1.4904945919101953,-4.2822948,4.770647177726586,-6.951425592079208,3.629354268989854,-5.825885,7.833524891605108,-0.7997468110891089,5.743680503573376,-1.9926562,5.770860278593144,hand_wash
-5.139356194059406,1.2441608056949878,-5.0235534,5.286359058912017,-7.0821201544554455,2.8130819648748666,-6.8258057,7.61521537645338,-4.135392502118812,3.247080189614597,-4.2763076,5.247914778331255,hand_wash
-5.801021867326733,1.517375016436355,-5.973179,5.994287725774141,-4.94307137219802,4.104690811283126,-4.366121,6.41214664112644,2.0825287595445543,4.827618819275375,2.6752367,5.235654493862654,hand_wash
